Player,Projection,Pos,Rank,Team,Bye,POS,CBS,Sleeper,RTSports,AVG,pos_rank,Cluster
Garrett Wilson,201.73999999999998,WR,21.0,NYJ,7.0,WR,,25.0,15.0,20.0,11.0,3
Deebo Samuel,187.65,WR,37.0,SF,9.0,WR,,37.0,40.0,38.5,15.0,4
Chris Olave,194.51999999999998,WR,25.0,NO,11.0,WR,,28.0,24.0,26.0,12.0,4
Tee Higgins,189.26,WR,33.0,CIN,7.0,WR,,31.0,35.0,33.0,13.0,4
Christian Watson,182.58000000000004,WR,58.0,GB,6.0,WR,,62.0,55.0,58.5,19.0,4
Amari Cooper,182.95,WR,43.0,CLE,5.0,WR,,45.0,41.0,43.0,18.0,4
DK Metcalf,188.55,WR,36.0,SEA,5.0,WR,,34.0,37.0,35.5,14.0,4
DeVonta Smith,185.94,WR,29.0,PHI,10.0,WR,,35.0,26.0,30.5,16.0,4
Calvin Ridley,183.62,WR,34.0,JAC,9.0,WR,,41.0,29.0,35.0,17.0,4
DJ Moore,173.24,WR,51.0,CHI,13.0,WR,,52.0,50.0,51.0,21.0,5
Mike Williams,171.04999999999998,WR,64.0,LAC,5.0,WR,,69.0,59.0,64.0,22.0,5
Mike Evans,170.87,WR,78.0,TB,5.0,WR,,73.0,82.0,77.5,23.0,5
Keenan Allen,181.81,WR,44.0,LAC,5.0,WR,,43.0,43.0,43.0,20.0,4
Terry McLaurin,169.1,WR,55.0,WAS,14.0,WR,,53.0,57.0,55.0,24.0,5
Christian Kirk,167.58,WR,73.0,JAC,9.0,WR,,75.0,66.0,70.5,27.0,5
DeAndre Hopkins,168.94000000000003,WR,54.0,TEN,7.0,WR,,51.0,58.0,54.5,25.0,5
Tyler Lockett,165.12,WR,74.0,SEA,5.0,WR,,71.0,72.0,71.5,28.0,5
Brandon Aiyuk,159.47000000000003,WR,65.0,SF,9.0,WR,,66.0,64.0,65.0,31.0,6
Jerry Jeudy,158.02,WR,71.0,DEN,9.0,WR,,60.0,80.0,70.0,32.0,6
Drake London,164.81,WR,66.0,ATL,11.0,WR,,65.0,68.0,66.5,29.0,5
Jahan Dotson,153.45,WR,85.0,WAS,14.0,WR,,90.0,83.0,86.5,35.0,6
Chris Godwin,168.7,WR,69.0,TB,5.0,WR,,72.0,63.0,67.5,26.0,5
George Pickens,150.5,WR,76.0,PIT,6.0,WR,,78.0,70.0,74.0,36.0,6
Gabe Davis,147.57,WR,97.0,BUF,13.0,WR,,98.0,99.0,98.5,37.0,6
Diontae Johnson,161.19,WR,79.0,PIT,6.0,WR,,85.0,71.0,78.0,30.0,6
Marquise Brown,157.53,WR,87.0,ARI,14.0,WR,,82.0,92.0,87.0,33.0,6
Michael Pittman Jr.,154.5,WR,80.0,IND,11.0,WR,,80.0,78.0,79.0,34.0,6
Brandin Cooks,144.91,WR,96.0,DAL,7.0,WR,,102.0,95.0,98.5,38.0,7
