"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Bub Means","NO","13.2","160.0","1.1","0.0","0.0","0.0","0.0","22.2"
"Tyquan Thornton","NE","12.8","159.9","0.9","1.0","7.1","0.0","0.1","21.8"
"Malik Washington","MIA","11.7","144.5","0.9","2.1","13.3","0.1","0.0","21.2"
"Brandon Powell","MIN","14.4","143.6","0.9","1.9","14.6","0.0","0.1","20.9"
"Ainias Smith","PHI","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"Jamari Thrash","CLE","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"Ryan Flournoy","DAL","12.0","141.1","1.1","0.0","0.0","0.0","0.0","20.5"
"Marquez Valdes-Scantling","BUF","9.0","139.4","1.1","0.0","1.0","0.0","0.0","20.4"
"Jacob Cowing","SF","11.0","134.0","1.0","0.0","6.0","0.0","0.0","20.0"
"Jamison Crowder","WAS","15.1","149.7","0.8","0.0","0.0","0.0","0.1","19.6"
"Marcus Rosemy-Jacksaint","WAS","10.0","126.0","1.0","0.0","6.0","0.0","0.0","19.2"
"Mason Tipton","NO","12.0","131.0","1.0","0.0","0.0","0.0","0.0","19.1"
"Tahj Washington","MIA","11.0","131.0","1.0","0.0","0.0","0.0","0.0","19.1"
"Nikko Remigio","KC","10.0","130.0","1.0","0.0","0.0","0.0","0.0","19.0"
"Casey Washington","ATL","10.6","128.0","1.0","0.0","0.0","0.0","0.0","18.7"
"Devaughn Vele","DEN","10.0","123.0","1.0","0.0","0.0","0.0","0.0","18.3"
"Jordan Whittington","LAR","10.8","129.6","0.9","0.0","0.0","0.0","0.0","18.2"
"Tejhaun Palmer","ARI","11.0","122.0","1.0","0.0","0.0","0.0","0.0","18.2"
"Johnny Wilson","PHI","11.0","130.7","0.8","0.0","2.5","0.0","0.0","18.0"
"Tyler Scott","CHI","9.5","107.8","0.9","2.1","18.2","0.1","0.0","18.0"
"Derius Davis","LAC","7.0","81.1","0.6","6.7","38.6","0.1","0.1","15.8"
"Danny Gray","SF","7.0","94.0","1.0","0.0","4.0","0.0","0.0","15.8"
"Trent Sherfield Sr.","MIN","9.3","114.6","0.7","0.0","1.3","0.0","0.0","15.5"
"Brenden Rice","LAC","8.9","106.8","0.7","0.0","2.0","0.0","0.0","15.3"
"Skyy Moore","KC","8.7","101.4","0.8","0.0","3.0","0.0","0.1","15.0"
"Mecole Hardman Jr.","KC","7.6","96.4","0.7","0.0","13.0","0.0","0.0","15.0"
"Isaiah Hodgins","NYG","8.7","108.9","0.6","0.0","2.0","0.0","0.0","14.6"
"Nick Westbrook-Ikhine","TEN","8.1","108.0","0.6","0.0","1.3","0.0","0.0","14.5"
"D.J. Montgomery","IND","8.8","105.3","0.6","0.0","3.0","0.0","0.0","14.3"
"Xavier Hutchinson","HOU","7.9","98.5","0.6","0.0","9.5","0.0","0.0","14.3"
"Jalen Brooks","DAL","10.9","99.5","0.7","0.0","0.0","0.0","0.0","14.3"
"Robbie Chosen","SF","7.6","89.5","0.8","0.0","2.0","0.0","0.0","13.9"
"Rakim Jarrett","TB","7.8","97.3","0.6","0.0","5.0","0.0","0.0","13.7"
"David Moore","CAR","7.5","100.5","0.6","0.0","1.7","0.0","0.1","13.7"
"Anthony Gould","IND","7.6","89.5","0.7","0.0","0.0","0.0","0.0","13.0"
"Devin Duvernay","JAC","8.1","82.6","0.4","3.3","16.9","0.1","0.1","12.7"
"Charlie Jones","CIN","7.4","90.0","0.6","0.0","1.7","0.0","0.0","12.7"
"Robert Woods","HOU","8.3","86.8","0.6","0.0","2.0","0.0","0.0","12.6"
"David Bell","CLE","8.4","90.2","0.6","0.0","1.3","0.0","0.0","12.5"
"Isaiah McKenzie","NYG","9.0","80.0","0.5","1.9","10.1","0.1","0.1","12.4"
"Chris Moore","ARI","7.4","89.2","0.5","0.0","3.3","0.0","0.0","12.3"
"Justyn Ross","KC","6.1","77.1","0.7","0.0","0.0","0.0","0.0","11.9"
"Chris Blair","ATL","7.2","82.2","0.6","0.0","0.0","0.0","0.1","11.8"
"Jalen Guyton","LV","6.0","79.9","0.6","0.0","2.0","0.0","0.0","11.7"
"Parris Campbell","PHI","8.1","83.5","0.5","0.0","1.7","0.0","0.0","11.7"
"John Metchie III","HOU","6.9","81.6","0.5","0.0","2.7","0.0","0.0","11.6"
"Nsimba Webster","CHI","6.9","80.7","0.6","0.0","0.0","0.0","0.0","11.5"
"Ihmir Smith-Marsette","CAR","8.6","67.0","0.4","2.1","18.1","0.1","0.0","11.5"
"Jason Brownlee","NYJ","6.3","78.6","0.6","0.0","1.5","0.0","0.0","11.5"
"Zach Pascal","ARI","5.9","74.8","0.6","0.0","2.0","0.0","0.0","11.4"
"Ronnie Bell","SF","6.3","76.0","0.6","0.0","2.0","0.0","0.0","11.3"
"Kayshon Boutte","NE","6.3","78.6","0.5","0.0","2.5","0.0","0.0","11.3"
"Braxton Berrios","MIA","8.2","79.2","0.5","0.0","2.7","0.0","0.0","11.2"
"KJ Hamler","BUF","5.4","74.1","0.6","0.0","2.5","0.0","0.0","11.2"
"Deonte Harty","BAL","5.9","72.2","0.6","0.0","5.0","0.0","0.0","11.1"
"Ashton Dulin","IND","6.1","70.4","0.6","0.0","2.0","0.0","0.0","11.0"
"Jalen Reagor","NE","5.5","71.4","0.6","0.0","2.0","0.0","0.0","10.8"
"Laviska Shenault Jr.","SEA","5.8","61.5","0.2","3.2","28.9","0.1","0.1","10.7"
"Michael Woods II","CLE","5.3","68.8","0.6","0.0","2.0","0.0","0.0","10.6"
"Bo Melton","GB","5.9","68.8","0.5","1.0","6.3","0.0","0.1","10.4"
"Chris Conley","SF","5.3","65.0","0.6","0.0","2.0","0.0","0.0","10.2"
"Dee Eskridge","SEA","5.3","64.8","0.3","4.3","15.4","0.1","0.0","10.1"
"Malik Heath","GB","5.4","64.6","0.6","0.0","1.5","0.0","0.0","10.1"
"Kyle Philips","TEN","6.6","78.1","0.3","0.0","0.5","0.0","0.0","9.7"
