Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Brandin Cooks,DAL,WR,131.60000000000002,-12.2,20.3,0.9,Brandin,Cooks,DAL,149.6
Kendrick Bourne,NE,WR,130.9,-12.9,19.6,0.2,Kendrick,Bourne,NE,241.9
Curtis Samuel,BUF,WR,127.2,-16.6,15.9,-3.5,Curtis,Samuel,BUF,121.4
DeMario Douglas,NE,WR,130.60000000000002,-13.2,19.3,-0.1,DeMario,Douglas,NE,174.6
Darnell Mooney,ATL,WR,120.5,-23.3,9.2,-10.2,Darnell,Mooney,ATL,170.8
Adam Thielen,CAR,WR,129.3,-14.5,18.0,-1.4,Adam,Thielen,CAR,171.8
Khalil Shakir,BUF,WR,125.9,-17.9,14.6,-4.8,Khalil,Shakir,BUF,127.4
DJ Chark,LAC,WR,111.30000000000001,-32.5,0.0,-19.4,DJ,Chark,LAC,237.9
Demarcus Robinson,LAR,WR,113.9,-29.9,2.6,-16.8,Demarcus,Robinson,LAR,205.9
Darius Slayton,NYG,WR,108.2,-35.6,-3.1,-22.5,Darius,Slayton,NYG,234.8
Adonai Mitchell,IND,WR,108.7,-35.1,-2.6,-22.0,Adonai,Mitchell,IND,115.6
Wan'Dale Robinson,NYG,WR,113.80000000000001,-30.0,2.5,-16.9,Wan'Dale,Robinson,NYG,192.2
Jahan Dotson,WAS,WR,106.7,-37.1,-4.6,-24.0,Jahan,Dotson,WAS,156.0
Joshua Palmer,LAC,WR,111.5,-32.3,0.2,-19.2,Joshua,Palmer,LAC,145.5
Xavier Legette,CAR,WR,106.80000000000001,-37.0,-4.5,-23.9,Xavier,Legette,CAR,132.1
Michael Wilson,ARI,WR,104.30000000000001,-39.5,-7.0,-26.4,Michael,Wilson,ARI,174.5
Marvin Mims,DEN,WR,104.80000000000001,-39.0,-6.5,-25.9,Marvin,Mims,DEN,183.7
Quentin Johnston,LAC,WR,102.7,-41.1,-8.6,-28.0,Quentin,Johnston,LAC,150.0
Jermaine Burton,CIN,WR,102.2,-41.6,-9.1,-28.5,Jermaine,Burton,CIN,176.1
Rashod Bateman,BAL,WR,103.2,-40.6,-8.1,-27.5,Rashod,Bateman,BAL,193.6
Josh Downs,IND,WR,105.10000000000001,-38.7,-6.2,-25.6,Josh,Downs,IND,139.9
Odell Beckham,MIA,WR,94.7,-49.1,-16.6,-36.0,Odell,Beckham,MIA,209.9
Jalen Tolbert,DAL,WR,96.80000000000001,-47.0,-14.5,-33.9,Jalen,Tolbert,DAL,267.0
Tim Patrick,DEN,WR,91.6,-52.2,-19.7,-39.1,,,,300.0
Dontayvion Wicks,GB,WR,92.2,-51.6,-19.1,-38.5,Dontayvion,Wicks,GB,159.8
Zay Jones,ARI,WR,97.3,-46.5,-14.0,-33.4,Zay,Jones,ARI,211.8
Rondale Moore,ATL,WR,86.60000000000001,-57.2,-24.7,-44.1,Rondale,Moore,ATL,240.8
Brandon Johnson,DEN,WR,87.0,-56.8,-24.3,-43.7,,,,300.0
Noah Brown,HOU,WR,84.7,-59.1,-26.6,-46.0,Noah,Brown,HOU,300.0
Ja'Lynn Polk,NE,WR,94.1,-49.7,-17.2,-36.6,Ja'Lynn,Polk,NE,158.6
Elijah Moore,CLE,WR,88.6,-55.2,-22.7,-42.1,Elijah,Moore,CLE,237.8
Trey Palmer,TB,WR,82.0,-61.8,-29.3,-48.7,Trey,Palmer,TB,284.9
Jalin Hyatt,NYG,WR,86.0,-57.8,-25.3,-44.7,Jalin,Hyatt,NYG,236.1
Tyler Boyd,TEN,WR,92.9,-50.9,-18.4,-37.8,Tyler,Boyd,TEN,219.9
Malachi Corley,NYJ,WR,80.10000000000001,-63.7,-31.2,-50.6,Malachi,Corley,NYJ,179.2
Robert Woods,HOU,WR,88.80000000000001,-55.0,-22.5,-41.9,,,,300.0
Roman Wilson,PIT,WR,83.6,-60.2,-27.7,-47.1,Roman,Wilson,PIT,155.6
Marquez Callaway,PIT,WR,83.0,-60.8,-28.3,-47.7,,,,300.0
Josh Reynolds,DEN,WR,77.0,-66.8,-34.3,-53.7,Josh,Reynolds,DEN,265.9
Ricky Pearsall,SF,WR,70.5,-73.3,-40.8,-60.2,Ricky,Pearsall,SF,152.4
KaVontae Turpin,DAL,WR,64.2,-79.6,-47.1,-66.5,,,,300.0
Jalen McMillan,TB,WR,74.1,-69.7,-37.2,-56.6,Jalen,McMillan,TB,209.3
AT Perry,NO,WR,67.1,-76.7,-44.2,-63.6,A.T.,Perry,NO,282.6
Luke McCaffrey,WAS,WR,76.9,-66.9,-34.4,-53.8,Luke,McCaffrey,WAS,187.4
Nelson Agholor,BAL,WR,62.7,-81.1,-48.6,-68.0,,,,300.0
Van Jefferson,PIT,WR,65.7,-78.1,-45.6,-65.0,,,,300.0
